Task: super-resolution with a scale factor of 2; sample: fixed COS-7 cell line; structure: clathrin-coated pits (CCP); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm. nearest interpolation with a factor of 2.; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; target pixel size: 31.3 x 31.3 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
Task: denoising; sample: fixed mouse brain tissues; structure: chromosome; fluorescence indicator: DAPI; input microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; input pixel size: 300 x 300 nm; target microscope: Nikon A1R-MP laser scanning confocal microscope in two-photon imaging mode equipped with a Nikon Apo LWD 40x, 1.15 NA water immersion objective. Excitation wavelength 780 nm; target pixel size: 300 x 300 nm.
